,0
UF_ZI,int64
ANO_CMPT,int64
MES_CMPT,int64
ESPEC,int64
CGC_HOSP,object
N_AIH,int64
IDENT,int64
CEP,int64
MUNIC_RES,int64
NASC,int64
SEXO,int64
DIAR_ACOM,int64
QT_DIARIAS,int64
PROC_SOLIC,int64
PROC_REA,int64
VAL_SH,float64
VAL_SP,float64
VAL_TOT,float64
US_TOT,float64
DT_INTER,int64
DT_SAIDA,int64
DIAG_PRINC,object
COBRANCA,int64
NAT_JUR,int64
GESTAO,int64
MUNIC_MOV,int64
IDADE,int64
DIAS_PERM,int64
CAR_INT,int64
GESTOR_TP,int64
GESTOR_CPF,int64
CNES,int64
CNPJ_MANT,object
REGCT,int64
RACA_COR,int64
SEQUENCIA,int64
REMESSA,object
AUD_JUST,object
DIAGSEC1,object
DIAGSEC2,object
TPDISEC1,int64
TPDISEC2,int64
